Python后端开发工程师,北京感易智能科技有限公司,"职位描述：职位详情：SAAS 系统的Python后台开发。支持前端网页系统的展示和搜索。职位描述：1、参与负责核心产品及平台的后端设计、开发和优化 支撑上规模任务调度，保障系统的高性能、高可用、高效率；2、与算法工程师、产品业务团队密切配合，快速迭代开发；3、参与负责产品相关的数据清洗、挖掘和一定的分析工作；4、设计计算模块，优化后台算法，优化响应时间；5、总线的架构开发和部署，分布式系统的开发和应用。任职要求：1、3年及以上互联网公司/大型企业软件的Python或者Go研发经验，擅长后端系统研发；2、全日制本科及以上学历，软件工程，计算机科学等相关专业；3、精通Python开发框架，至少熟悉一种web框架 (Django，flask, Tornado等)，具有独立完成项目开发的能力；4、熟悉linux、nginx的使用及搭建、调试、排错、优化、部署等；5、熟悉mysql/postgresSQL及常用优化方案，熟悉redis/memcache缓存技术，并有实际使用经验；6、熟悉网络编程、多线程编程技术，有大规模系统开发和设计经验；7、具有高并发,大数据计算系统的开发和维护经验，掌握常见场景设计，如缓存、高并发、高负载、高可用等；8、对面向对象有深刻的理解、熟悉常用设计模式，熟悉微服务架构，有丰富的开发经验；9、有良好的团队合作能力，善于沟通，热爱编程，自主学习能力强。加分项：1、熟悉golang，或Hadoop/Spark/Hbase，有实际项目经验；2、有NLP、知识图谱、搜索问答等相关背景。"
30359-python后台开发,腾讯,职位描述：工作职责：负责腾讯平台与内容事业群的高性能高可用基础框架和组件的开发。任职要求：熟练掌握python语言以及其常用的库；熟悉linux开发环境和常用命令，熟悉shell编程；熟悉进程/线程，对异步/非阻塞编程有一定的编程经验；熟悉网络编程，TCP/IP协议以及http协议；熟悉常用的数据结构与算法；熟悉MySQL以及SQL语言；具有三年以上互联网业务开发经验或大容量网络服务相关经验者优先；熟悉开源微服务框架grpc/tars/service mesh等优先；计算机或相关专业本科及以上学历，三年以上相关工作经验；有较强的逻辑思维能力，思想上开放，主动积极有责任感，能够承担工作压力；熟悉无线互联网服务及应用开发者优先。
python后端开发工程师,蓝星科技,职位描述：职责描述：1、负责公司web服务端的设计与开发；2、参与产品沟通，需求分析，方案设计；3、根据开发进度和任务计划，完成相应功能模块的设计和开发；4、对所编写的PHP程序进行严格的综合测试，进行系统故障的诊断、定位、分析和调试。任职要求：1、3年及以上PHP服务器端开发经验，有扎实的PHP基础，熟练使用主流开源框架；2、精通PHP、深入理解MVC模式，精通OOP开发，熟练运用常用设计模式开发；3、熟悉html、CSS、javascript等前端技术；4、熟练使用mysql，并熟悉mysql数据库设计及性能优化；5、具备良好的学习能力、沟通能力，拥有良好的代码习惯；6、有大型项目开发经验优先。
57279-25923-监控系统开发工程师（Python）（深圳）,腾讯,职位描述：工作职责：负责腾讯游戏监控告警平台后的设计与开发；负责监控自有链路采集与采集器框架开发功能；参与代码评审和代码开源改造。任职要求：大学本科及以上学历，计算机或者相关专业，5年以上工作经验；3年以上Python后台开发经验，有良好的编码习惯，熟悉Django/Tornado等web开发框架，熟悉celery等异步任务队列；2年以上Golang开发经验，熟悉Golang开发流程，有异步逻辑开发经历，深入了解多线程、网络等基础框架；熟悉大型分布式系统设计与开发；熟悉Unix/Linux操作系统下的开发，部署，维护等工作；熟悉业界时序数据库，influxdb，opentsdb等，熟悉业界监控产品，zabbix，Prometheus等；具有良好的沟通能力、学习能力、分析解决问题能力，高度的责任心和团队合作精神。
Python,开发工程师,杭州沃趣科技股份有限公司,职位描述：岗位内容：1. QData 功能研发；2. QData 架构功能优化；3. QData 项目客户现场问题支持。任职资格：1.2年以上工作经验，熟练使用Linux等类Unix系统，习惯Linux / Mac 作为开发环境；2.熟悉Python网络编程，以及多线程，多进程，协程等并行程序模型；3.了解服务端应用程序的研发，具备基本的代码debug与问题分析能力；4.了解常用的 python 开源项目，如Celery、Flask、Django、Redis、Docker等；5.了解互联网产品和服务的开发过程；6.有良好的团队合作意识，善于自主思考，自主学习；7.具备基本的英文阅读能力和沟通能力，乐于分享；8.有远程工作经验者优先。加分项：1.有Linux应用运维相关经验；2.熟悉 MySQL、Oracle 或相关背景。
python开发,上海梵讯网络技术有限公司,职位描述：【岗位描述】1、负责公司基础数据产品研发2、产品性能分析与优化【岗位要求】1、2年以上工作经验，本科以上学历，计算机或数学相关专业2、良好的编程开发能力，精通Python爬虫开发和Web开发3、熟悉MySQL与SQL Server部署、开发与维护4、熟悉各种基础算法5、对新技术敏感，乐于研究新技术，具有良好的团队合作精神6、具有Hadoop、Spark、ElasticSearch、kafka等分布式开源软件实际应用经验者优先7、熟悉.NET开发或Java开发者优先8、熟悉数据挖掘算法者优先9、211/985学校优先【梵讯给您提供】☞入职即享有的薪酬福利体系：五险一金，年终奖金，带薪年假/病假，入职免费体检，年度免费体检，周末双休等；☞最专业的互联网培训：5-10天带薪岗前培训，不定期的在职培训、外部培训，致力于打造学习型的组织团队；☞快速晋升发展的机会，公平透明的选拔机制：公司处于快速发展期，岗位空缺多，晋升机会大；☞公平开放，积极坦诚的企业文化：生日party，团建活动，户外拓展，公司提供丰富的下午茶（玫瑰花茶、立顿专供）咖啡茶饮，每周五俱乐部活动（乒乓球、篮球、羽毛球、狼人杀、瑜伽）；☞办公环境：新装修的5A级办公环境，免费娱乐设施随意用。工作时间：9:00-19:00 周末双休 法定节假日正常休
Python,佰钧成技术,职位描述：招聘要求：1、掌握python语言，熟悉spark框架；2、了解常见的web攻击类型（sql注入，xss注入）；3、熟悉linux.系统操作，了解常用服务器部署，维护，调优，有编写bash脚本能力；4、了解tcp/ip，http，https等网络协议。岗位职责：负责对接网络运维部进行数据调优分析及算法功能开发。
python工具开发,杭州漠坦尼科技有限公司,职位描述：职责描述：1、在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、从事Python软件开发（web开发方向）等工作；3、参与应用设计与方案讨论；4、开发、定制、调试、优化基于python语言的工具；5、分析安全设备日志，解决网络安全监控中的难题；6、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；7、进行程序单元、功能的测试，查出软件存在的缺陷并解决；8、完成与项目相关的文档编写。任职要求：1、学历本科及以上；2、熟悉互联网常用协议HTTP、TCP、UDP相关协议优先；3、熟悉网络安全web攻击手法及防御的优先；4、有Seleniumappium等各种模拟器、网络爬虫开发经验；5、熟悉Web开发框架(Django、Flask等) 可以独立完成Web前后端一站式开发；6、熟悉数据库的使用，能够熟练使用MySQL、PostgreSQL、MongoDB等开源数据库；7、熟悉linux，有shell编程经验者优先
Python工程师,西安奥卡云置业有限公司,"职位描述：职责描述：1.参与实现在产品经理需求下的基于Flask后端框架设计2.参与Web后台服务系统的架构/模块的设计和开发工作3.参与数据库模型设计，数据库调优，产品性能优化4.参与主导分布式集群web服务的安装部署任职要求：1.熟练掌握一种或多种常用的Python Web框架,如Flask，Django等2.熟练掌握一种或多种数据库,不限于MongoDB, Mysql等3.熟练掌握除Python之外的一种或多种语言4.具有分布式web设计经验5.熟悉 Linux上的web部署,nginx配置,redis等常用软件6.英文熟练"
Python工程师,西安奥卡云数据科技有限公司,"职位描述：职责描述：1.参与实现在产品经理需求下的基于Flask后端框架设计2.参与Web后台服务系统的架构/模块的设计和开发工作3.参与数据库模型设计，数据库调优，产品性能优化4.参与主导分布式集群web服务的安装部署任职资格:1.熟练掌握一种或多种常用的Python Web框架,如Flask，Django等2.熟练掌握一种或多种数据库,不限于MongoDB, Mysql等3.熟练掌握除Python之外的一种或多种语言4.具有分布式web设计经验5.熟悉 Linux上的web部署,nginx配置,redis等常用软件6.英文熟练"
人工智能研发（Python开发）工程师,-它思（191217）,清华大学天津电子信息研究院,"职位描述：岗位职责：1、负责AI与行业的结合应用，进行方案的设计形成可落地的解决方案；2、根据业务需求，设计机器学习模型或迁移学习模型，进行数据预处理、算法调优、模型评估、模型应用部署，验证方案可行性；3、制作方案中与模型算法相关的设计文档，维护算法模型；4、整理并开展团队人工智能相关知识学习。任职资格：1、精通C/C++,精通算法与数据结构，精通程序设计，有算法优化的经验，熟练使用OpenCV、MATLAB等开发工具及TensorFlow、Caffe等主流深度学习框架熟练掌握Python语言，TensorFlow，OpenCV等开发框架，具备常见神经网络模型，网络表示计算算法应用经验；2、在机器学习、图像处理或深度学习等方向有相关经验者优先；3、具备良好的敬业精神和团队合作精神，有较好的沟通理解和学习能力；4、具备较强的文字撰写能力；5、能够在快节奏、高压的环境中高效工作。"
python数据分析工程师,经纬恒润,职位描述：工作职责1.参与海量数据挖掘平台设计与开发；2.负责底层测试数据的解析开发；3.负责数据挖掘需求模型设计与开发；4.负责海量数据挖掘的分布式部署及其调优工作。任职要求1.本科及以上学历，车辆工程，计算机，软件工程等相关专业；2.熟练使用pyhon/JavaScript/Css/Html等语言；3.有Vue/ReactJs开发经验者优先。
Python,软通动力技术服务,"职位描述：岗位要求：1、二本理工学历，学信网可查2、熟练掌握Python语言，常用Python类库；3、熟悉Django/Flask等Web框架, 3、了解Web开发相关知识，如HTML, Css, JavaScript；4、了解使用常用的前端库，如jquery,bootstrap,echart等；5、熟悉Linux开发和部署环境，熟练使用常用Linux命令"
Python,软通动力技术服务,"职位描述：岗位要求：1、1年以上工作经验，二本理工学历2、熟练掌握Python语言，常用Python类库；3、熟悉Django/Flask等Web框架, 3、了解Web开发相关知识，如HTML, Css, JavaScript；4、熟练使用常用的前端库，如jquery,bootstrap,echart等；5、熟悉Linux开发和部署环境，熟练使用常用Linux命令"
python开发工程师,智线云科技(北京)有限公司,职位描述：职责描述：1、 基础系统架构、模块、库和组件的研发；2、 分布式海量数据存储和分析系统的研发和调优；3、统计分析、报表、SaaS业务等系统研发；4、CRM、财务结算、工作流等内部管理系统的研发。任职要求：1、统招本科，计算机相关专业，使用PHP等一门以上语言，开发过不算太小的项目；2、熟悉数据结构、DB、OS、Web开发等相关知识，对Linux相关的各类技术情有独钟；3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先；4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长。
Python语言工程师,郑州李唐电子科技有限公司,职位描述：岗位职责：1.配合公司内部业务需求，进行数据采集和需求分析；2.负责公司需求产品设计、架构设计和文档编写；3.负责问题排查、调试、性能调优等开发相关工作；4.根据需求对项目代码进行维护和优化。任职要求：1.全日制本科及以上学历，211、985院校、软件工程、计算机专业优先；2.具备Python开发经验3年以上；3.精通python语言，有分布式爬虫经验或者懂得php语言优先；4.熟悉多线程、多进程、socket编程；熟悉Linux；5.熟练使用数据库（Mysql、Sqlserver、redis）操作；6.掌握Pyhton的WEB框架Django、Flask等，并且有使用过其中一个框架开发；7.具有对简单功能需求独立完成开发的能力，逻辑清晰，代码严谨，善于沟通和学习；8.具有快速学习能力，对新技术有强烈的探索精神，能够承受工作压力，有强烈的责任心任职要求：
Python,湖南象盒网络科技有限公司,"职位描述：职位描述【工作职责】1.与设计师、产品工程师紧密工作在一起,实现产品前端ui和交互方面的开发需求，确保不同平台、设备上具有优秀的用户体验；2.能充分理解项目需求和设计需求，具有一定研发精神，能解决各种未知问题；3.与团队成员分享经验和新技术，帮助团队成长。【职位要求】1、对于新技术有快速学习的能力，具有一定的技术见解。2、掌握各种Web前端技术，HTML5/CSS/JS等及jquery、AngulaJS等JS框架编程；；3、能够根据设计稿快速构建出优美兼容性强的页面；4、成功开发过中大型Web应用程序；5、熟悉各种浏览器平台的特性，能够很好地解决兼容问题；6、工作经验一年半以上。7、有小程序开发经验者优先。"
Python/2年经验,湖南象盒网络科技有限公司,"职位描述：Python岗位职责资深算法工程师/架构师 快看世界 快看世界(北京)科技有限公司,快看世界 职位描述1.负责平台亿级用户推荐召回算法的调研、开发和应用2.负责平台亿级用户特征提取,内推推荐涉及到的机器学习算法的调研、开发和应用任职要求1.全日制统招本科及以上学历,计算机或相关专业,计算机专业知识扎实,熟悉常用数据结构和算法,深入理解常用机器学习算法2.熟练使用Java/Python语言,有过4年及以上的推荐算法开发经验3.熟练使用大数据开发平台进行离线ETL数据处理4.熟练使用Spark ML、Python机器学习库5.工作态度积极,热爱团队合作6.有项目管理或团队管理经验尤佳。"
高级python开发工程师,北京国研网信息股份有限公司,职位描述：职责描述：1、海量数据的处理与分析；2、开发自动化工具；3、开发API接口共外部调用（高并发）；4、持续优化项目、性能调优等；5、参与项目的技术评审、代码评审等；6、参与项目需求分析、业务逻辑流程设计，技术文档编写；任职要求：1、3年及以上python开发经验，硕士及以上学历，海外留学背景优先；2、熟练使用python语言，掌握tornado、scrapy等框架；3、熟练运用nginx、mysql、redis、rabbitmq等；4、熟练运用linux的基础命令，深刻理解HTTP协议；5、有爬虫相关经验；6、了解大并发、分布式部署；7、理解restful风格接口规范；8、认真负责、勇于承担、自我学习能力强、善于沟通、有责任心、有良好的团队协作能力；
Python,Test,Engineer,某欧美公司,"职位描述：Minimum Qualifications:•Bachelor’s degree in Computer Science, Electrical Engineering, related technical field or equivalent practical experience.•Familiarity in Test Management Tools such as – JIRA, Test Case Management Tools,•Familiarity in Linux based Development Environment•Experience in the development of manufacturing test software.•Programming Experience in PythonPreferred Qualifications:•Experience with scripting languages (e.g., Python).•Ability to generate product-specific test plans and execute testing accordingly.Responsibilities•Support manufacturing test development for new and existing products•Write test plans and drive test coverage based on product requirements.•Develop automated test scripts for functional test, software installation, and burn-in using Python and design, build, and deploy test platforms for products.•Analyze, troubleshoot, and root cause manufacturing yield issues and field escapes. Drive issues to closure with preventive measures.•Defines the manufacturing test strategy for new products and works with our partners to jointly develop the required test solutions."
python中级开发工程师,华世界集团,"职位描述：岗位职责：1.负责产品的设计，开发、文档撰写和项目改进、可行性分析、技术选型；2.参与平台上业务应用的功能设计及架构规划；3.参与产品设计，按照设计规范，完成技术文档编写；4.负责优化客户端软件的模块结构和流程逻辑及产品适配、优化；5.负责组织开发人员进行代码评审、重构；6.负责整个项目界面的统一及编码规范，编写概要设计说明书、详细设计说明书；7.根据需求研发新的产品，并测试其性能，进行改进。任职资格：1.专科及以上学历，计算机相关专业；2.熟悉flask,django框架；熟悉但不限于mysql等数据库应用开发设计；3.了解python数据分析框架，如pandas/numpy；4.具有良好的算法和数据结构基础；5.具有良好的自学能力、沟通能力良好。职能类别：Python开发工程师"
Python开发工程师,某知名互联网公司,"职位描述：职位职责1、负责游戏后端架构设计和开发2、参与设计系统技术方案，核心代码开发与系统调试3、负责安全系统的设计与核心功能开发任职要求1. 本科及以上学历，良好代码能力和习惯，对数据结构有较好了解，了解常用的设计模式。2. 2年以上python开发经验，熟悉linux开发，掌握python的网络框架和相关api服务设计，并有过生产级相关项目开发，Flask优先。3. 熟悉主流的关系型与菲关系型数据库（如Mysql, mongo等），并有过相关线上数据操作。4. 熟悉tcp/ip、http协议，熟悉ipsec协议者优先5. 熟悉游戏业务实现逻辑以及算法。6. 有良好的逻辑思维能力和团队沟通能力，强大的自我驱动力和自学能力。"
高级python工程师,家家有谱,职位描述：1、30岁以内，聪明好学，工作有激情；2、熟悉Python语言，以及基于Python的互联网架构；3、熟悉缓存中间件，以及MySQL/PostgreSQL数据库；4、熟悉基本的服务器基础运维操作。
后端研发高级工程师（Java,Golang,Python,C++）,北京智软英才管理咨询有限公司,职位描述：工作内容：1. 负责公司产品复杂模块/系统的研发工作2. 疑难问题攻坚3. 高P人选还负责产品调研/讨论以及产品整体架构设计职位要求：1. 参与或主导过大型项目的设计开发2. 扎实的编码能力、优秀的设计和编码品味3. 有与年龄相称的技术水平和技术视野
python开发,某知名互联网教育企业,"职位描述：.全日制本科及以上，计算机相关专业毕业；3年以上Python开发经验；2.精通Python语言，熟练掌握PythonWeb服务搭建部署流程；3.熟悉常见的Python服务框架，包括但不限于Django, Tornado，Flask等；4.熟悉常见的中间件，包括但不限于RabbitMQ、Redis、Kafka、Nginx等；5.熟悉常见的存储方案，包括但不限于MySQL、MongoDB、HBase、Ceph等；6.熟悉常用的开发工具，如Git、SVN等；7.有良好的代码风格和开发习惯，懂得单元测试原理；8.熟悉容器技术如Docker、K8s者优先；9.熟悉常见的设计模式、软件设计软则者优先；10.熟悉CICD、Devops流程者优先。"
python工程师,深圳某智能有限公司,职位描述：分析公司业务需求，独立负责项目开发 参与创新产品核心技术研发，充分融合业务需求与新技术能力 负责难题攻关和技术调研及选型等。提升团队工作效率。能力要求：【必备】精通Python，熟悉至少一种除Python外的编程语言（Javascript/Golang/Java)。有改进或维护较复杂的Python框架或库的经验。【必备】做过至少两个完整的SaaS、企业服务、公司内部系统等领域的后端项目；有从服务器、数据库到Web服务框架、web前端开发的全栈经验。【必备】有两年及以上web业务系统架构设计经验，能够使用ER实体关系图做业务抽象和数据库建模，能够熟练画出清晰的系统架构图、接口调用时序图等。【必备】熟悉文档型数据库和关系型数据库，了解KV存储数据库，了解异步IO/多线程多进程等相关技术和应用，熟悉至少一种MVC架构的Web框架。【必备】了解机器学习相关基本概念。【必备】五年以上软件工程工作经历，计算机和软件相关专业，本科以上学历。有很好的数据结构和算法基础。【加分项】精通Elastic Search搜索引擎【加分项】使用机器学习相关技术实现过线上业务模块，如推荐系统或知识图谱【加分项】了解Cloud Native架构，有一定的私有云容器化服务部署经验。对DevOps有了解。
高级python工程师,互联网O2O公司,"职位描述：1、负责数据抽取、清洗、消重、数据结构化等工作；2、设计和开发数据流、数据仓库、调度系统等；3、打造业界领先的分布式计算，存储系统，解决大规模生产环境集群可用性和性能优化问题。职位要求：1、3年以上工作经验，精通python；2、较强的系统设计和编码能力，追求优雅的设计和优秀的代码质量；3、掌握分布式存储原理，精通HDFS, Hive, HBase, MongoDB, redis, Kafka中的一项或多项；4、熟练掌握分布式计算，精通Spark, MapReduce, Storm, Flink中的一项或多项。"
运维开发,--Python,某知名互联网,社区,职位描述：职位描述：1、负责主导公司运维平台的开发2、设计&开发容量管理，持续交付，故障分析，监控系统，CMDB系统，云管理系统。3、对线上业务架构设计进行优化与自动化运维改进4、其他开源基础服务的容器化/服务化的开发岗位要求：1. 熟悉Linux系统，3年以上Linux系统管理经验；2. 精通网络、操作系统，熟练使用SHELL，熟悉Golang、Python、Java、Perl、Ruby、Lua、PHP等语言中的一种或多种；3. 具备严谨的逻辑能力，一定的问题分析和解决能力；4. 熟悉kubernetes及docker生态，一定的生产环境运维经验；5. 自我驱动的学习和工作习惯，对未知技术和领域能快速掌握并实践；6. 有持续集成、发布平台、监控系统、CMDB、服务树、虚拟化等运维经验者优先；7. 在开源社区活跃并有积极贡献者优先；8. 对数据库有了解优先（MongoDB、Mysql等不限）；
高级python开发工程师,知名互联网公司,"职位描述：岗位职责：1.全日制本科及以上，计算机相关专业毕业；3年以上Python开发经验；2.精通Python语言，熟练掌握PythonWeb服务搭建部署流程；3.熟悉常见的Python服务框架，包括但不限于Django, Tornado，Flask等；4.熟悉常见的中间件，包括但不限于RabbitMQ、Redis、Kafka、Nginx等；5.熟悉常见的存储方案，包括但不限于MySQL、MongoDB、HBase、Ceph等；6.熟悉常用的开发工具，如Git、SVN等；7.有良好的代码风格和开发习惯，懂得单元测试原理；8.熟悉容器技术如Docker、K8s者优先；9.熟悉常见的设计模式、软件设计软则者优先；10.熟悉CICD、Devops流程者优先。其他要求：1.良好的沟通能力；2.性格积极乐观，诚信，有较强的语言表达能力，具备强烈的进取心、求知欲及团队合作精神。补充：本岗位可接受远程面试，视频为主，电话为辅。疫情当前，足不出户，安心求职！"
python爬虫开发工程师,知名医疗互联网企业,职位描述：1.参与分布式爬虫和数据采集系统的架构设计和开发；2.参与智能抽取框架和智能数据处理框架的设计和开发；3.负责网络数据抓取规划和数据链路规划、高效且稳定爬取指定网站的数据；4.设计爬虫策略和防屏蔽规则，优化网页抓取的效率和质量；5.利用机器学习策略优化现有数据清洗，数据提取，结构化，入库等过程；6.深度思考并参与业务等数据瓶颈，并有效解决；
高级python开发工程师-后端,北京感易智能科技有限公司,"职位描述：职责描述：1、参与负责核心产品及平台的后端设计、开发和优化2、参与负责产品相关的数据抓取、清洗、挖掘和分析任职要求：1、	重点大学计算机或相关专业，硕士研究生及以上学历2、	3年及以上java/python后端开发经验3、	至少熟悉一种web框架 (Django，flask, Tornado等)，具有独立完成项目开发的能力4、	熟悉linux、nginx的使用及搭建、调试、排错、优化、部署等5、	熟悉mysql/postgresSQL及常用优化方案，熟悉redis/memcache缓存技术，并有实际使用经验6、	掌握常见场景设计，如缓存、高并发、高负载、高可用等7、	具有快速学习能力，较强的团队观念加分项：1、熟悉golang，或Hadoop/Spark/Hbase，有实际项目经验2、有高并发、高负载、高可用，分布式、集群系统开发经验"
云计算openstack(python/shell/golang)开发工程师,国企全资子公司云数据top企业,"职位描述：岗位内容：1.基于openstack 核心组件定制开发与维护；2.负责云平台系统的设计、开发与维护，提高系统的扩展性和自动化程度；3.负责云平台产品的软件功能实现，需求变更实现及客户新需求分解；跟踪openstack社区新技术的演进和应用落地；任职要求：1．学历学位：本科（学士学位）2．专业知识：本科以上学历，计算机/软件工程专业优先；3．专业技能：(1)熟悉OpenStack架构，有云计算相关开发工作经验；(2)熟练掌握Python编程；(3)熟悉虚拟化基础组件kvm、 libvirt、qemu，OpenStack主要组件（nova,neutron,cinder,ironic，keystone等） 并且能够进行定制开发；(4)熟悉Linux系统性能调优理论知识及常用工具的使用；(5)熟悉rabbitmq，redis，memcache等中间件的使用；(6)熟悉计算机存储基本知识(7)熟悉Linux iptables，dnsmasq，ip命令，网络命名空间的使用及配置；(8)熟悉OpenStack下的flat、vlan、vxlan、gre等网络拓扑；4．能力与个性：良好的团队合作精神和沟通能力；愿意学习并应用业界新知识。5. 优先条件： 有开源社区贡献人员优先；具备openstack,k8s,docker等实际研发经验者优先。有边缘计算架构及开发经验的（EdgeX foundry，StarlingX等）的优先有Go语言开发经验者优先熟悉主流服务器存储系统（ceph,glusterfs,sheepdog等）者优先"
python后端工程师,某人工智能科技公司,职位描述：我们需要您是：- 熟悉计算机科学原理，如算法和数据结构，计算机网络等- 具备现代软件工程思想，如持续集成、单元测试、敏捷开发、OOP思想等- 熟悉 Python 和至少一门其他计算机语言- 对技术有强烈的好奇心与求知欲我们需要您做：- 岗位负责中台产品组的后端开发工作，包括- 业务基础设施的设计与开发- 中台微服务的设计与开发- NLP 算法的工程化对接- 负责对自己研发的服务进行运维管理，具体来说：- 都是标准化的自动运维与发布流程，按照内部教程既可自主上线- 谁开发谁治理，谁宕机谁修复您可以在这里获得：- 中科院博士，前百度算法工程师亲自带队- 专注目标，自我驱动，追求专业与高效的组织文化- 前沿的软件工程化实践，如：CI/CD，Docker + K8s 等
Python工程师,上海知名互联网公司,职位描述：职位职责：1、参与系统架构设计、优化，提升系统性能和开发效率，保证高并发高可靠；2、通过不断的技术研究和创新，推动业务的快速发展和高效迭代。职位要求：1、有扎实的编程能力，有优秀的设计能力和代码品位，热爱编程；2、深刻理解计算机原理，有良好的数据结构和算法基础；3、有高并发服务设计和实现经验，对分布式系统有自己的理解；4、对软件产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力。
PYTHON后端（或前端）开发工程师,上市高科技公司,职位描述：职责描述：1、高效地完成产品研发需求。2、编写易于维护的高质量代码。任职要求：1. 精通 LPython 开发框架 Django。2.熟练至少一种后端（或前端）语言，如php、Nodejs等；熟练mysql操作，SQL语法。3.熟练面向对象开发，熟悉面向对象设计模式。4.学习和考虑事情思维清晰，对新技术有求知热情，喜欢挑战，有抗压能力，能够胜任多种编程语言的开发。5.了解分布式开发，有架构经验者优先；或者了解javascript，了解Nodejs优先。6.可接受应届毕业生， 本科学历以上，有工作经验、有系统开发demo和例子优先。
python后端开发工程师,智能驾驶技术高科企业,职位描述：需要全日制 ②①① ⑨⑧⑤学校毕业岗位职责:1、负责数据平台、仿真平台等后端开发与架构设计。2、负责数据产品的功能迭代和性能优化，提高效率，优化流程。3、负责完善基础组件，优化性能，提升架构。任职要求：1、	计算机、自动化、信息工程等相关专业，本科及以上学历。2、	熟练掌握python/c/c++中的两种或以上，python优先；扎实的算法和数据结构知识。3、	有丰富的 web/api/service 开发经验，熟悉 nginx/container/mongoDB/elasticsearch等核心组件4、	有大流量服务设计和实现经验、有数据产品开发经验、有商业化产品开发经验、有国际化产品开发经验优先。5、	有强烈的求知欲和进取心，具有扎实的编程功底，良好的代码品位，丰富的设计经验，稳健的开发习惯，独立的解决问题能力。加分项：1、	有Linux或Ros开发经验。2、	有岗位相关高水平学术论文发表。3、	在Github或其他开源平台上有岗位相关的高质量项目。
后端开发工程师（python/go/php/c++）,知名社交互联网公司,"职位描述：任职要求：1.3年以上后端开发工作经验；2.计算机或相关专业，具备完整的计算机基础知识体系和扎实的编程功底；3.熟练掌握至少一门服务端编程语言，如Golang, C/C++, Java, Python等；4.熟练掌握并发编程、网络编程等基础知识，熟悉Linux环境下的日常开发和调试；5.熟悉数据库（MySQL, PostgreSQL, LevelDB, Cassandra等）的基础理论知识，有实际的使用或优化经验；6.具备较强的业务理解及业务抽象能力，开发设计可扩展、可复用、高性能的服务架构；7.熟悉分布式系统原理、微服务、消息队列、缓存、容器等技术者优先；8.具备微服务架构下的设计、开发和维护经验者优先；9.具备高并发高可用系统的核心开发和设计经验者优先；"
高级Python,深圳某大型互联网公司,"职位描述：工作职责：1. 负责公司devops平台的研发。2. 负责公司监控平台二次研发工作。3. 负责devops同k8s对接。职位要求：1. 熟悉python + django 框架。2. 熟悉vue， bootstrap, jquery，ajax等前端框架。3. 实施过devops平台 以及cmdb数据库的设计。4. 能够基于各种python开源框架做二次开发。5. 有reset api设计经验。6. 有k8s 运维经验优先。"
自动化测试工程师（APP/python/java）,大型跨国集团公司,"职位描述：工作职责1、负责产品功能、性能、接口和稳定性等自动化测试工作，对产品质量负责2、根据产品需求设计测试方案及用例，设计自动化测试工具，编写自动化脚本和搭建自动化测试平台3、负责和产品开发等其他团队的沟通协作，推动项目顺利进展，保证测试的正确性和完整性4、跟踪定位缺陷或问题，完成测试报告并分析测试结果5、通过测试相关流程、策略、方法和工具创新，努力提升测试质量和效率6、有创新意识能够不断引入新的测试技术和测试方法融入到自动化测试平台任职要求1、全日制本科及以上学历，3年以上软件测试工作经验2、熟悉并使用过至少一种Android自动化测试框架；如Appium，uiautomator等3、至少熟练掌握python，java其中一种语言4、至少熟悉掌握两种以上主流测试工具，比如SoapUI、Jmeter、fiddler，monkey,LoadRunner等测试工具5、具有强烈的责任感，良好的沟通和表达能力，优秀的抗压能力6、有智能家居行业经验优先，有设计、开发过自动化测试框架或测试工具的优先考虑"
Python软件工程师,河南东京软件科技有限公司,职位描述：岗位职责：1、负责基于人工智能的安防产品应用层软件开发；2、负责软件模块的设计和编码以及相关文档的编写；3、负责软件模块的单元测试并确保代码质量；4、参与架构设计的方案讨论，参与软件需求的讨论。岗位要求：1、计算机、电子、通讯、自动化等相关专业本科及以上学历；2、熟悉Python语言服务器端应用层编码和调试；3、有音视频应用软件系统开发经验优先4、熟悉微服务和接口开发，例如websocket/HTTP Restful等6、具备良好的英文听说能力，有较强的学习能力，结果导向，团队合作精神，良好的沟通和协调能力。公司福利：1、我们提供有竞争力的薪资；2、享受每年普调工资制度；3、为员工缴纳五险一金；4、生日惊喜、节假日福利；5、双休制，所有节假日均按照国家法定执行；6、年休假（五天以上）及婚假、产育假（男职工陪产假）等休假制度；7、专享来往探亲车票报销待遇；8、定期组织户外拓展活动以及聚餐活动；9、广阔的晋升空间。
